Task_ID,Worker_ID,Task_Difficulty,Worker_Skill_Level,Task_Completion_Time,Performance_Score,Quality_Score
1,13,1,3,7.17,7,6
2,11,4,3,105.18,7,9
3,8,4,3,97.84,9,2
4,4,3,3,54.69,2,1
5,1,2,4,94.71,9,4
6,10,3,3,111.01,3,5
7,14,1,5,46.59,5,1
8,16,5,3,26.34,1,3
9,7,2,4,29.59,6,2
10,1,5,5,11.7,5,2
11,13,1,4,27.93,2,7
12,8,5,3,56.17,9,4
13,9,3,3,71.36,9,7
14,17,4,3,32.16,8,8
15,10,5,2,86.39,8,2
16,15,2,5,81.09,7,2
17,13,1,2,115.81,10,2
18,5,3,5,91.3,8,5
19,2,1,3,78.44,2,9
20,2,1,3,18.65,1,8
21,19,3,5,21.41,9,6
22,8,4,5,76.99,10,4
23,5,1,2,90.36,5,6
24,19,3,3,58.42,9,9
25,17,5,2,101.8,3,4
26,8,2,5,28.9,7,3
27,3,5,1,42.19,2,8
28,18,3,1,73.19,7,3
29,3,5,2,55.51,8,3
30,19,5,3,53.12,4,8
31,9,4,3,78.22,2,8
32,5,3,4,47.8,9,5
33,14,4,2,44.43,3,3
34,13,2,5,16.74,7,9
35,13,2,3,77.75,6,10
36,12,3,1,47.14,6,1
37,10,5,5,31.35,4,6
38,13,4,2,47.12,4,5
39,4,4,1,42.42,4,7
40,14,5,2,36.49,3,10
41,15,1,3,41.34,3,10
42,15,4,4,60.62,10,9
43,19,1,4,30.01,6,8
44,8,1,3,22.05,7,6
45,4,4,2,65.08,2,1
46,5,3,1,8.58,9,4
47,3,4,2,106.38,6,8
48,6,3,1,41.51,2,4
49,12,4,2,113.85,7,9
50,15,3,1,17.32,8,4
51,2,4,2,16.82,4,9
52,12,4,4,68.32,3,7
53,2,4,3,53.98,5,1
54,10,4,3,118.31,10,8
55,12,5,2,34.01,10,9
56,5,2,5,36.52,8,2
57,7,5,1,76.46,8,2
58,4,1,4,75.28,7,8
59,1,4,1,114.72,2,4
60,2,1,3,47.77,9,5
61,1,5,4,29.0,3,6
62,8,3,1,58.09,4,7
63,9,2,5,16.69,7,3
64,16,4,5,116.3,9,10
65,5,3,1,52.31,3,3
66,10,4,1,106.19,5,6
67,17,2,4,51.71,4,7
68,3,4,1,57.92,6,9
69,8,2,2,37.65,10,1
70,19,1,3,118.53,9,8
71,4,5,1,80.18,8,3
72,15,2,5,49.81,3,1
73,11,5,2,38.0,6,4
74,3,1,3,72.37,8,4
75,4,1,1,102.52,5,3
76,7,3,3,35.58,3,1
77,10,5,1,102.65,2,4
78,12,3,1,71.65,5,2
79,5,2,4,92.31,1,7
80,8,3,3,101.72,9,1
81,1,3,3,93.37,6,5
82,5,5,2,24.17,1,7
83,7,2,2,107.6,7,9
84,5,2,3,21.55,1,9
85,16,5,1,77.64,10,7
86,9,1,1,112.97,3,2
87,13,2,2,11.76,1,1
88,13,4,3,26.64,2,1
89,15,5,2,102.69,9,3
90,9,1,3,113.39,3,9
91,9,5,1,59.47,9,2
92,14,1,5,52.86,8,2
93,4,1,5,58.3,3,8
94,1,4,5,33.75,1,8
95,15,1,3,117.0,5,9
96,15,1,5,58.15,5,8
97,2,3,4,50.75,1,3
98,13,2,5,32.9,7,7
99,12,3,2,95.57,5,5
100,7,2,1,55.73,2,9
